id;name;sector;status;target_amount;current_raised;impact_score
1;inasmuch gerbil;zebra restfully bog;ACTIVE;14147.03;6083.65;5422
2;blah snowplow;yowza;VETTING;26547.22;18506.66;21769
3;bitterly;carboxyl;ACTIVE;20678.77;24708.34;29492
4;cosset ack reckless;muddy;CLOSED;8631.31;20185.05;16898
5;mammoth yippee;supposing apologise loose;ACTIVE;5161.75;6800.71;32506
6;while with indolent;badly;CLOSED;2965.47;394.02;8274
7;weight psst gut;hm;VETTING;18541.11;12778.41;26380
8;fully;well-worn slip zowie;CLOSED;15387.41;11936;19076
9;doubtfully linseed;mealy;VETTING;5643.55;31547.94;22950
10;past eek huge;ack intend uh-huh;CLOSED;23222.72;13751.38;462
